問題文,画像ファイル,選択肢1,選択肢2,選択肢3,選択肢4
北海道の県庁所在地を答えなさい,,札幌,盛岡,水戸,宇都宮
夏の大三角の組み合わせを答えなさい,,デネブ、アルタイル、ベガ,ベテルギウス、プロキオン、シリウス,デネブ、シリウス、ベガ,デネブ、ベテルギウス、アンタレス
任天堂本社の所在地を答えなさい,,京都府、京都市,京都府、向日市,愛知県、名古屋市,愛知県、豊田市
シャーロック・ホームズの作者は誰か答えなさい,,コナン・ドイル,アガサ・クリスティ,エラリー・クイーン,エドガー・アラン・ポー
江戸幕府を開いたのは誰か答えなさい,,徳川家康,徳川慶喜,豊臣秀吉,織田信長
本能寺の変で織田信長を暗殺したのは誰か答えなさい,,明智光秀,豊臣秀吉,源頼朝,弁慶
ローマ帝国初代皇帝は誰か答えなさい,,アウグストゥス,カエサル,ブルータス,クレオパトラ
2021年現在最も人口が多い国はどこか答えなさい,,中国,インド,ロシア,アメリカ
オーストラリアは何州か答えなさい,,オセアニア州,ヨーロッパ州,北アメリカ,アフリカ州
三ツ矢サイダーが生まれた年を答えなさい,,1884年,1990年,2000年,1700年
