問題文(text),画像ファイル,選択肢１(Choice1),選択肢２(Choice2),選択肢３(Choice3),選択肢４(Choice4),画像の著作権
今大会は事前開始競技も含めて何日間行われた？？,,１９,１４,２０,１７,
開会式でイタリアが入場してきたのは何番目？,,１９,１８,２１,２３,
入場曲に使われなかった劇中歌はどれ？,,クロノ・トリガー「風の憧憬」,ウイニングイレブン（Pro Evolution Soccer）「eFootball walk－on theme」,ファイナルファンタジー「MAIN THEME」,ドラゴンクエスト「序章：ロトのテーマ」,
オリンピックで初！共に金メダリストとなった２人の兄妹の名字は？,,阿部,吉田,山本,田村,
マラソン競技の行われた都市は？,,北海道,東京,大阪,愛知,
400ｍ障害で驚異的な世界新記録を叩き出し、金メダルを獲得したKarsten Warholm（カルステン・ワーホルム）。出身国は？,,ノルウェー,ドイツ,フランス,ギリシャ,
沖縄県で初の金メダリスト喜友名諒。出身地は？,,沖縄市,浦添市,那覇市,うるま市,
今大会の個人最大メダル取得数はいくつ？,,７,６,５,４,
２０２１年東京大会の日本の合計メダル数は？,,５８,３９,７２,４３,
国別の合計メダル数１位の国はアメリカ！ではいくつ獲った？,,１１３,１２３,１１２,９８,
