問題文,画像,選択肢１,選択肢２,選択肢３,選択肢４
日本列島の最西端にある島は何でしょう,,与那国島,石垣島,波照間島,竹富島
沖縄には、タコスミートやチーズなどの具材をご飯の上にのせた料理があります。それは何という料理でしょう。,,タコライス,メガタコス,沖縄丼,タコスドリーム
沖縄の美ら海水族館には、成長すると10m〜12mになる魚類がいます。それは何でしょう。,,ジンベエザメ,ホオジロザメ,シャチ,イルカ
沖縄のご当地ヒーロー「琉神マブヤー」の必殺技である「スーパーメーゴーサー」の「メーゴーサー」は標準語で何という意味でしょう。,,げんこつ,タックル,回し蹴り,パンチ
沖縄県の「花」は次のうちどれでしょう。,,デイゴ,ハイビスカス,リュウキュウウリ,ヒマワリ
沖縄県が国内の生産量の99％を占めているものは次のうちどれでしょう。,,サトウキビ,パイナップル,バナナ,マンゴー
沖縄県の地名である「具志頭」の読み方はどれでしょう。,,ぐしちゃん,ぐすず,ぐしあたま,ぐっじょぶ
沖縄県の方言で「ひざまづき」とはどんな意味でしょう。,,正座,土下座,立ちひざ,膝蹴り
沖縄県の県蝶はどれでしょう。,,オオゴマダラ,イシガケチョウ,アサギマダラ,クロアゲハ
沖縄県の地名である「勢理客」の読み方はどれでしょう。,,じっちゃく,せりかく,しりちゃく,せいりきゃく
